"totalListings" "totalTickets" "minQuantity" "maxQuantity" "mapDisplayType" "eventid" "timestamp"
759 1840 1 10 "section" 9220596 "04-08-2015_12.00.22"
743 1789 1 10 "section" 9220597 "04-08-2015_12.00.46"
766 1854 1 8 "section" 9220595 "04-08-2015_18.00.02"
760 1842 1 10 "section" 9220596 "04-08-2015_18.00.40"
742 1787 1 10 "section" 9220597 "04-08-2015_18.01.11"
765 1853 1 8 "section" 9220595 "04-09-2015_00.00.01"
760 1840 1 10 "section" 9220596 "04-09-2015_00.01.04"
742 1790 1 10 "section" 9220597 "04-09-2015_00.01.38"
766 1857 1 8 "section" 9220595 "04-09-2015_06.00.01"
760 1840 1 10 "section" 9220596 "04-09-2015_06.00.13"
740 1786 1 10 "section" 9220597 "04-09-2015_06.00.21"
766 1853 1 8 "section" 9220595 "04-09-2015_12.00.01"
762 1840 1 10 "section" 9220596 "04-09-2015_12.02.12"
743 1793 1 10 "section" 9220597 "04-09-2015_12.02.25"
770 1855 1 8 "section" 9220595 "04-09-2015_18.00.02"
761 1841 1 10 "section" 9220596 "04-09-2015_18.00.39"
743 1796 1 10 "section" 9220597 "04-09-2015_18.01.36"
770 1855 1 8 "section" 9220595 "04-10-2015_00.00.01"
758 1838 1 10 "section" 9220596 "04-10-2015_00.00.26"
744 1798 1 10 "section" 9220597 "04-10-2015_00.00.41"
771 1856 1 8 "section" 9220595 "04-10-2015_06.00.01"
758 1838 1 10 "section" 9220596 "04-10-2015_06.00.06"
743 1796 1 10 "section" 9220597 "04-10-2015_06.00.12"
771 1857 1 8 "section" 9220595 "04-10-2015_12.00.01"
759 1839 1 10 "section" 9220596 "04-10-2015_12.00.08"
748 1805 1 10 "section" 9220597 "04-10-2015_12.00.25"
791 1915 1 8 "section" 9220595 "04-10-2015_18.00.02"
788 1928 1 10 "section" 9220596 "04-10-2015_18.00.49"
767 1882 1 10 "section" 9220597 "04-10-2015_18.01.17"
791 1917 1 8 "section" 9220595 "04-11-2015_00.00.01"
792 1935 1 10 "section" 9220596 "04-11-2015_00.00.06"
766 1878 1 10 "section" 9220597 "04-11-2015_00.00.17"
790 1916 1 8 "section" 9220595 "04-11-2015_06.00.01"
792 1935 1 10 "section" 9220596 "04-11-2015_06.00.23"
766 1878 1 10 "section" 9220597 "04-11-2015_06.00.28"
793 1929 1 8 "section" 9220595 "04-11-2015_12.00.01"
794 1944 1 10 "section" 9220596 "04-11-2015_12.00.13"
769 1889 1 10 "section" 9220597 "04-11-2015_12.00.38"
793 1927 1 8 "section" 9220595 "04-11-2015_18.00.01"
794 1933 1 10 "section" 9220596 "04-11-2015_18.00.11"
767 1882 1 10 "section" 9220597 "04-11-2015_18.00.22"
792 1924 1 8 "section" 9220595 "04-12-2015_06.00.01"
793 1931 1 10 "section" 9220596 "04-12-2015_06.00.12"
763 1875 1 10 "section" 9220597 "04-12-2015_06.00.25"
792 1924 1 8 "section" 9220595 "04-12-2015_12.00.01"
792 1929 1 10 "section" 9220596 "04-12-2015_12.00.08"
762 1874 1 10 "section" 9220597 "04-12-2015_12.00.13"
791 1921 1 8 "section" 9220595 "04-12-2015_18.00.01"
791 1925 1 10 "section" 9220596 "04-12-2015_18.00.12"
760 1864 1 10 "section" 9220597 "04-12-2015_18.00.25"
790 1920 1 8 "section" 9220595 "04-13-2015_00.00.01"
790 1923 1 10 "section" 9220596 "04-13-2015_00.00.26"
759 1862 1 10 "section" 9220597 "04-13-2015_00.01.04"
